cause_output_accuracy,cause_output_loss,fault_output_accuracy,fault_output_loss,loss,val_cause_output_accuracy,val_cause_output_loss,val_fault_output_accuracy,val_fault_output_loss,val_loss,learning_rate
0.9449999928474426,0.1838884949684143,0.9662500023841858,0.08632346987724304,0.2702120244503021,1.0,0.0002448403392918408,1.0,7.839692261768505e-05,0.0002937541576102376,0.0010000000474974513
0.9996874928474426,0.0014640609733760357,1.0,0.0004697459808085114,0.0019338070414960384,1.0,3.9195409044623375e-05,1.0,1.9169669030816294e-05,5.362904630601406e-05,0.0010000000474974513
1.0,0.0007036495953798294,1.0,0.0002756988687906414,0.0009793483186513186,1.0,1.4788652151764836e-05,1.0,6.364079126797151e-06,1.9152565073454753e-05,0.0010000000474974513
1.0,0.000411722285207361,1.0,0.00017872906755656004,0.0005904512945562601,1.0,6.309703167062253e-06,1.0,1.5269500863723806e-06,6.977913471928332e-06,0.0010000000474974513
1.0,0.00023759524628985673,1.0,9.249085269402713e-05,0.00033008609898388386,1.0,3.4541023978817975e-06,1.0,7.331580604841292e-07,3.7567235722235637e-06,0.0010000000474974513
1.0,0.00022809533402323723,1.0,4.8654408601578325e-05,0.0002767498081084341,1.0,1.9371377675270196e-06,1.0,3.951197982132726e-07,2.085184860334266e-06,0.0010000000474974513
1.0,0.0002639527665451169,1.0,3.101300899288617e-05,0.00029496580827981234,1.0,1.2524900512289605e-06,1.0,3.1001928846308147e-07,1.3910060943089775e-06,0.0010000000474974513
1.0,6.735442002536729e-05,1.0,2.862132532754913e-05,9.597574535291642e-05,1.0,1.1016171583833057e-06,1.0,2.726234527017368e-07,1.2235362873980193e-06,0.0005000000237487257
1.0,0.00010019876208389178,1.0,4.5806318667018786e-05,0.00014600508438888937,1.0,9.049763320945203e-07,1.0,1.9549544560959475e-07,9.721909464133205e-07,0.0005000000237487257
1.0,0.00017911652685143054,1.0,6.367955938912928e-05,0.00024279611534439027,1.0,7.671414437027124e-07,1.0,1.004847476338e-07,7.635778729309095e-07,0.0005000000237487257
1.0,6.585029768757522e-05,1.0,1.8286649719811976e-05,8.41369474073872e-05,1.0,5.822083721795934e-07,1.0,8.657058003791462e-08,5.905773150516325e-07,0.0005000000237487257
1.0,7.576155621791258e-05,1.0,1.843887184804771e-05,9.420044079888612e-05,1.0,4.08184774869369e-07,1.0,8.201317314160406e-08,4.3600667254395375e-07,0.0005000000237487257
1.0,9.557706653140485e-05,1.0,5.229843736742623e-05,0.00014787550026085228,1.0,3.696015085097315e-07,1.0,6.931610130322952e-08,3.884274804022425e-07,0.0002500000118743628
1.0,0.00011256646394031122,1.0,2.233722261735238e-05,0.00013490366109181195,1.0,3.4698376794040087e-07,1.0,6.216280468152036e-08,3.6224989230504434e-07,0.0002500000118743628
1.0,5.4897755035199225e-05,1.0,2.660042082425207e-05,8.14981758594513e-05,1.0,2.924349757904565e-07,1.0,5.457301099909273e-08,3.059114419556863e-07,0.0002500000118743628
1.0,8.080025145318359e-05,1.0,8.76628837431781e-06,8.956652891356498e-05,1.0,2.772677305529214e-07,1.0,5.271301262155248e-08,2.9141523327780305e-07,0.0002500000118743628
1.0,0.00010928558185696602,1.0,1.9647302906378172e-05,0.00012893290841020644,1.0,2.812591333167802e-07,1.0,5.5381843111490525e-08,2.960695439924166e-07,0.0002500000118743628
1.0,6.447541818488389e-05,1.0,2.1942592866253108e-05,8.641801832709461e-05,1.0,2.7167979510522855e-07,1.0,5.177336603878757e-08,2.834927386174968e-07,0.0001250000059371814
1.0,3.540457328199409e-05,1.0,1.41406753755291e-05,4.954524047207087e-05,1.0,2.567786623330903e-07,1.0,4.771390749169768e-08,2.672217647159414e-07,0.0001250000059371814
1.0,2.533028782636393e-05,1.0,1.0175085662922356e-05,3.550537439878099e-05,1.0,2.479976615177293e-07,1.0,4.5949835936198724e-08,2.5651917212599074e-07,0.0001250000059371814
1.0,7.934837776701897e-05,1.0,9.119925380218774e-06,8.846830314723775e-05,1.0,2.23783317210291e-07,1.0,4.707265688352891e-08,2.3743682220356277e-07,0.0001250000059371814
1.0,3.367827594047412e-05,1.0,1.6821200915728696e-05,5.049948231317103e-05,1.0,2.1154311014015548e-07,1.0,4.648810758567379e-08,2.2667188659397652e-07,0.0001250000059371814
